,Protocol,NumDaysRunning,isDex,isPLF,isStaking,NumHacks,EaseofUse,NumAirdrops,TokenMktCap_SMA,TokenTotalVolume_SMA,TwitterFollowers_SMA,Tweets_SMA,Favourites_SMA,NativeTokenPrice_SMA,NativeTokenReturns_SMA,TokenMktShare,SuccessFactor_1
50,AAVE V1,50.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,42466.9,1369.18,1159.27,15.73,0.0,1.18,5.0
51,AAVE V1,51.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,42508.73,1372.27,1164.31,15.73,0.0,1.18,5.0
52,AAVE V1,52.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,42550.92,1375.35,1169.22,15.73,0.0,1.18,5.0
53,AAVE V1,53.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,42594.2,1378.47,1174.1,15.73,0.0,1.18,5.0
54,AAVE V1,54.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,42637.53,1381.63,1179.06,15.73,0.0,1.18,5.0
55,AAVE V1,55.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,42682.2,1384.8,1184.1,15.73,0.0,1.18,5.0
56,AAVE V1,56.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,42727.02,1388.06,1189.35,15.73,0.0,1.18,5.0
57,AAVE V1,57.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,42772.12,1391.39,1194.67,15.73,0.0,1.18,5.0
58,AAVE V1,58.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,42813.43,1394.71,1199.37,15.73,0.0,1.18,5.0
59,AAVE V1,59.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,42852.71,1398.02,1203.9,15.73,0.0,1.18,5.0
60,AAVE V1,60.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,42891.88,1401.39,1208.35,15.73,0.0,1.18,5.0
61,AAVE V1,61.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,42929.84,1405.04,1212.86,15.73,0.0,1.18,5.0
62,AAVE V1,62.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,42967.41,1408.71,1217.41,15.73,0.0,1.18,5.0
63,AAVE V1,63.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43004.14,1412.49,1222.14,15.73,0.0,1.18,5.0
64,AAVE V1,64.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43041.18,1416.27,1226.88,15.73,0.0,1.18,5.0
65,AAVE V1,65.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43078.43,1420.04,1231.57,15.73,0.0,1.18,5.0
66,AAVE V1,66.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43115.82,1423.76,1236.16,15.73,0.0,1.18,5.0
67,AAVE V1,67.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43152.43,1427.45,1240.71,15.73,0.0,1.18,5.0
68,AAVE V1,68.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43188.47,1431.18,1245.29,15.73,0.0,1.18,5.0
69,AAVE V1,69.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43224.39,1434.98,1249.82,15.73,0.0,1.18,5.0
70,AAVE V1,70.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43260.96,1438.78,1254.33,15.73,0.0,1.18,5.0
71,AAVE V1,71.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43297.76,1442.59,1258.69,15.73,0.0,1.18,5.0
72,AAVE V1,72.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43334.47,1446.37,1263.0,15.73,0.0,1.18,5.0
73,AAVE V1,73.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43370.06,1450.14,1267.29,15.73,0.0,1.18,5.0
74,AAVE V1,74.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43403.82,1453.8,1271.31,15.73,0.0,1.18,5.0
75,AAVE V1,75.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43437.2,1457.49,1275.37,15.73,0.0,1.18,5.0
76,AAVE V1,76.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43469.94,1461.18,1279.41,15.73,0.0,1.18,5.0
77,AAVE V1,77.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43483.76,1463.06,1281.36,15.73,0.0,1.18,5.0
78,AAVE V1,78.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43514.62,1466.64,1285.3,15.73,0.0,1.18,5.0
79,AAVE V1,79.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43544.5,1470.2,1289.22,15.73,0.0,1.18,5.0
80,AAVE V1,80.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43574.12,1473.72,1293.22,15.73,0.0,1.18,5.0
81,AAVE V1,81.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43603.42,1477.24,1297.22,15.73,0.0,1.18,5.0
82,AAVE V1,82.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43631.2,1480.76,1301.14,15.73,0.0,1.18,5.0
83,AAVE V1,83.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43658.18,1484.32,1305.02,15.73,0.0,1.18,5.0
84,AAVE V1,84.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43684.54,1487.8,1308.92,15.73,0.0,1.18,5.0
85,AAVE V1,85.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43709.78,1491.28,1312.76,15.73,0.0,1.18,5.0
86,AAVE V1,86.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43734.26,1494.82,1316.6,15.73,0.0,1.18,5.0
87,AAVE V1,87.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43758.06,1498.36,1320.38,15.73,0.0,1.18,5.0
88,AAVE V1,88.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43781.66,1501.9,1324.14,15.73,0.0,1.18,5.0
89,AAVE V1,89.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43804.62,1505.54,1327.96,15.73,0.0,1.18,5.0
90,AAVE V1,90.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43827.3,1509.18,1331.7,15.73,0.0,1.18,5.0
91,AAVE V1,91.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43849.56,1512.86,1335.48,15.73,0.0,1.18,5.0
92,AAVE V1,92.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43871.32,1516.56,1339.32,15.73,0.0,1.18,5.0
93,AAVE V1,93.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43892.48,1520.24,1343.24,15.73,0.0,1.18,5.0
94,AAVE V1,94.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43913.38,1523.82,1347.04,15.73,0.0,1.18,5.0
95,AAVE V1,95.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43933.76,1527.38,1350.8,15.73,0.0,1.18,5.0
96,AAVE V1,96.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43951.52,1530.98,1354.6,15.73,0.0,1.18,5.0
97,AAVE V1,97.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43967.36,1534.62,1358.54,15.73,0.0,1.18,5.0
98,AAVE V1,98.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43982.0,1538.08,1362.28,15.73,0.0,1.18,5.0
99,AAVE V1,99.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,43995.88,1541.64,1365.98,15.73,0.0,1.18,5.0
100,AAVE V1,100.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44009.64,1545.22,1369.58,15.73,0.0,1.18,5.0
101,AAVE V1,101.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44022.46,1548.7,1373.0,15.73,0.0,1.18,5.0
102,AAVE V1,102.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44034.86,1552.18,1376.4,15.73,0.0,1.18,5.0
103,AAVE V1,103.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44046.34,1555.64,1379.78,15.73,0.0,1.18,5.0
104,AAVE V1,104.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44057.98,1559.16,1383.14,15.73,0.0,1.18,5.0
105,AAVE V1,105.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44068.72,1562.72,1386.44,15.73,0.0,1.18,5.0
106,AAVE V1,106.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44079.0,1566.22,1389.6,15.73,0.0,1.18,5.0
107,AAVE V1,107.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44090.16,1569.66,1392.76,15.73,0.0,1.18,5.0
108,AAVE V1,108.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44101.46,1572.94,1395.82,15.73,0.0,1.18,5.0
109,AAVE V1,109.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44112.18,1576.1,1398.76,15.73,0.0,1.18,5.0
110,AAVE V1,110.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44122.88,1579.24,1401.74,15.73,0.0,1.18,5.0
111,AAVE V1,111.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44133.5,1582.18,1404.68,15.73,0.0,1.18,5.0
112,AAVE V1,112.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44143.58,1585.14,1407.64,15.73,0.0,1.18,5.0
113,AAVE V1,113.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44153.34,1587.98,1410.46,15.73,0.0,1.18,5.0
114,AAVE V1,114.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44162.66,1590.88,1413.22,15.73,0.0,1.18,5.0
115,AAVE V1,115.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44171.5,1593.72,1416.02,15.73,0.0,1.18,5.0
116,AAVE V1,116.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44179.94,1596.56,1418.82,15.73,0.0,1.18,5.0
117,AAVE V1,117.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44188.64,1599.46,1421.66,15.73,0.0,1.18,5.0
118,AAVE V1,118.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44197.14,1602.4,1424.66,15.73,0.0,1.18,5.0
119,AAVE V1,119.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44204.0,1605.28,1427.8,15.73,0.0,1.18,5.0
120,AAVE V1,120.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44209.44,1608.2,1430.84,15.73,0.0,1.18,5.0
121,AAVE V1,121.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44214.18,1611.24,1433.98,15.73,0.0,1.18,5.0
122,AAVE V1,122.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44218.76,1614.26,1437.08,15.73,0.0,1.18,5.0
123,AAVE V1,123.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44223.36,1617.3,1440.2,15.73,0.0,1.18,5.0
124,AAVE V1,124.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44228.18,1620.44,1443.36,15.73,0.0,1.18,5.0
125,AAVE V1,125.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44233.14,1623.64,1446.52,15.73,0.0,1.18,5.0
126,AAVE V1,126.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44238.42,1626.94,1449.82,15.73,0.0,1.18,5.0
127,AAVE V1,127.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44243.7,1630.52,1453.38,15.73,0.0,1.18,5.0
128,AAVE V1,128.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44250.32,1634.3,1457.04,15.73,0.0,1.18,5.0
129,AAVE V1,129.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44252.55,1635.78,1458.55,15.73,0.0,1.18,5.0
130,AAVE V1,130.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44254.96,1637.33,1460.08,15.73,0.0,1.18,5.0
131,AAVE V1,131.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44264.23,1641.35,1463.9,15.73,0.0,1.18,5.0
132,AAVE V1,132.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44273.5,1645.33,1467.77,15.73,0.0,1.18,5.0
133,AAVE V1,133.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44276.43,1646.96,1469.45,15.73,0.0,1.18,5.0
134,AAVE V1,134.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44287.06,1651.13,1473.36,15.73,0.0,1.18,5.0
135,AAVE V1,135.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44298.26,1655.26,1477.38,15.73,0.0,1.18,5.0
136,AAVE V1,136.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44309.6,1659.3,1481.43,15.73,0.0,1.18,5.0
137,AAVE V1,137.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44321.57,1663.26,1485.4,15.73,0.0,1.18,5.0
138,AAVE V1,138.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44333.51,1667.28,1489.66,15.73,0.0,1.18,5.0
139,AAVE V1,139.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44346.72,1671.28,1493.91,15.73,0.0,1.18,5.0
140,AAVE V1,140.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44361.21,1675.28,1498.26,15.73,0.0,1.18,5.0
141,AAVE V1,141.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44376.64,1679.3,1502.72,15.73,0.0,1.18,5.0
142,AAVE V1,142.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44392.17,1683.3,1479.49,15.73,0.0,1.18,5.0
143,AAVE V1,143.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44407.49,1687.15,1483.81,15.73,0.0,1.18,5.0
144,AAVE V1,144.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44423.21,1690.98,1488.11,15.73,0.0,1.18,5.0
145,AAVE V1,145.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44439.72,1694.87,1492.4,15.73,0.0,1.18,5.0
146,AAVE V1,146.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44456.53,1698.79,1496.74,15.73,0.0,1.18,5.0
147,AAVE V1,147.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44473.43,1702.66,1500.94,15.73,0.0,1.18,5.0
148,AAVE V1,148.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44489.02,1706.6,1505.15,15.73,0.0,1.18,5.0
149,AAVE V1,149.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44506.13,1710.62,1509.49,15.73,0.0,1.18,5.0
150,AAVE V1,150.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44523.85,1714.57,1513.83,15.73,0.0,1.18,5.0
151,AAVE V1,151.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44541.64,1718.51,1518.17,15.73,0.0,1.18,5.0
152,AAVE V1,152.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44560.09,1722.57,1522.66,15.73,0.0,1.18,5.0
153,AAVE V1,153.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44567.28,1724.65,1524.26,15.73,0.0,1.18,5.0
154,AAVE V1,154.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44574.38,1726.69,1525.89,15.73,0.0,1.18,5.0
155,AAVE V1,155.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44581.7,1728.75,1527.55,15.73,0.0,1.18,5.0
156,AAVE V1,156.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44602.61,1733.5,1532.57,15.73,0.0,1.18,5.0
157,AAVE V1,157.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44623.11,1738.18,1537.43,15.73,0.0,1.18,5.0
158,AAVE V1,158.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44643.5,1742.86,1542.3,15.73,0.0,1.18,5.0
159,AAVE V1,159.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44664.09,1747.61,1547.18,15.73,0.0,1.18,5.0
160,AAVE V1,160.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44689.18,1752.39,1552.57,15.73,0.0,1.18,5.0
161,AAVE V1,161.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44717.64,1757.23,1558.14,15.73,0.0,1.18,5.0
162,AAVE V1,162.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44751.7,1762.16,1564.14,15.73,0.0,1.18,5.0
163,AAVE V1,163.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44788.07,1767.11,1570.09,15.73,0.0,1.18,5.0
164,AAVE V1,164.0,0.0,1.0,0.0,0.0,3.25,0.0,45070668.05,59594.22,44825.59,1771.89,1576.05,15.73,0.0,1.18,5.0
